customer_id,institution_type,region,product_tier,account_age_months,monthly_transaction_volume,avg_transaction_value,api_calls_per_month,num_active_users,revenue_monthly,support_tickets_6m,support_tier,days_since_last_login,feature_adoption_score,payment_method,payment_delay_days,contract_months_remaining,num_integrations,churn
INST_00000,Credit Union,North America,Professional,16,892,2726.13,5911,1213,11552.65,11,Standard,4,85.3,Invoice,0,28,5,0
INST_00001,Payment Processor,Europe,Professional,32,7179,82.44,11375,60,6192.89,6,Standard,8,89.4,Credit Card,4,16,4,0
INST_00002,Insurance Company,Latin America,Basic,19,21150,73.42,3708,139,11184.27,12,Standard,10,69.2,ACH,0,11,3,0
INST_00003,Investment Firm,North America,Professional,2,473,96.66,69603,645,5419.93,13,Standard,12,80.7,ACH,0,11,9,0
INST_00004,Bank,Latin America,Professional,4,38888,474.03,9146,1380,1784.19,6,Standard,6,66.2,Credit Card,0,34,10,0
INST_00005,Bank,North America,Enterprise,5,2458,50.0,225,2,921.59,11,Priority,14,69.4,Invoice,1,14,5,0
INST_00006,Bank,Asia Pacific,Basic,7,690,199.03,887056,39,3312.62,2,Standard,5,64.4,Wire Transfer,6,26,10,1
INST_00007,Payment Processor,Asia Pacific,Professional,20,9289,2183.14,9359,24,1557.11,6,Premium,0,49.8,Credit Card,3,8,4,0
INST_00008,Investment Firm,North America,Professional,16,1525,1311.5,9275,118,4106.89,8,Priority,4,93.3,Credit Card,0,17,5,0
INST_00009,Insurance Company,Europe,Professional,5,2636,219.0,270335,28,2350.03,6,Premium,1,32.1,Credit Card,1,33,6,1
INST_00010,Bank,North America,Enterprise,1,1625,239.84,3596,490,9215.31,10,Standard,5,72.6,ACH,1,2,7,0
INST_00011,Payment Processor,Asia Pacific,Professional,4,875,796.87,121165,202,5289.25,8,Standard,7,96.9,ACH,8,3,5,0
INST_00012,Insurance Company,Europe,Enterprise,99,8830,1239.33,9125,735,9616.56,7,Priority,7,65.7,ACH,1,23,7,0
INST_00013,Bank,Europe,Professional,15,1940,212.78,3023,825,9543.13,3,Standard,4,69.4,ACH,1,2,2,0
INST_00014,Bank,North America,Professional,48,345,304.53,284525,503,3753.67,5,Standard,8,53.2,Credit Card,2,16,5,0
INST_00015,Bank,North America,Basic,45,6813,204.55,87960,81,4115.42,13,Standard,0,70.0,Credit Card,10,16,3,1
INST_00016,Bank,North America,Basic,17,488,81.65,87553,179,10429.64,4,Priority,20,82.0,ACH,6,8,5,0
INST_00017,Credit Union,North America,Basic,29,528,309.92,38234,64,192703.57,11,Standard,12,86.1,Credit Card,5,20,4,0
INST_00018,Credit Union,Europe,Basic,5,17834,282.84,54103,12,1114.66,12,Standard,13,73.1,Credit Card,12,22,3,1
INST_00019,Bank,Latin America,Basic,27,495,88.87,3469,826,5232.41,14,Priority,0,77.6,Wire Transfer,7,3,5,1
INST_00020,Investment Firm,Asia Pacific,Basic,7,92,875.94,26040,127,817.65,13,Premium,1,51.2,Wire Transfer,2,23,5,1
INST_00021,Bank,Europe,Basic,42,7587,720.53,5469,9,4762.99,11,Priority,0,91.8,ACH,0,31,5,0
INST_00022,Bank,Middle East,Enterprise,2,1889,929.7,2742,390,1788.1,4,Standard,14,53.8,Credit Card,0,14,7,1
INST_00023,Credit Union,Asia Pacific,Basic,35,2150,160.5,40799,99,4105.74,6,Standard,9,55.1,ACH,2,0,6,1
INST_00024,Credit Union,Latin America,Professional,2,1859,50.0,125144,3,6204.1,10,Priority,0,72.4,Credit Card,2,18,2,1
INST_00025,Insurance Company,Europe,Basic,51,4219,706.84,12393,12,2358.81,11,Standard,3,88.4,Wire Transfer,9,0,3,0
INST_00026,Bank,North America,Enterprise,8,963,181.83,16026,42,500.0,4,Priority,5,42.5,Credit Card,20,32,7,1
INST_00027,Credit Union,North America,Enterprise,25,27287,138.55,3994,216,41701.96,4,Priority,8,67.9,Invoice,15,16,6,0
INST_00028,Investment Firm,Asia Pacific,Professional,16,325,89.26,22266,613,17307.85,5,Standard,2,84.4,Wire Transfer,5,0,5,1
INST_00029,Bank,North America,Professional,10,5809,289.92,68879,576,4040.65,7,Priority,2,47.6,Wire Transfer,2,17,1,0
INST_00030,Investment Firm,North America,Basic,24,7810,2677.91,72206,439,1284.21,7,Premium,5,32.9,Wire Transfer,2,20,3,0
INST_00031,Bank,Europe,Enterprise,70,953,219.96,49899,139,5583.31,8,Priority,5,79.0,Wire Transfer,0,32,3,0
INST_00032,Bank,Europe,Enterprise,1,641,109.1,8711,3294,8446.3,6,Premium,0,74.9,Credit Card,10,8,4,1
INST_00033,Payment Processor,Europe,Enterprise,60,13708,882.11,8306,523,15599.87,9,Priority,8,43.1,ACH,11,20,7,0
INST_00034,Payment Processor,North America,Professional,22,674,496.4,72628,221,17913.92,10,Priority,1,57.4,ACH,1,19,7,0
INST_00035,Insurance Company,North America,Professional,39,1199,50.0,74458,411,23766.08,6,Premium,13,73.1,Wire Transfer,2,3,4,0
INST_00036,Bank,Europe,Enterprise,11,11281,893.2,17017,72,500.0,14,Standard,10,63.8,Wire Transfer,4,34,10,0
INST_00037,Bank,Middle East,Basic,15,3140,5188.3,11623,133,3112.04,8,Standard,27,91.9,ACH,1,11,5,0
INST_00038,Investment Firm,Asia Pacific,Professional,48,201,50.0,126863,3,21799.69,6,Standard,1,88.5,ACH,2,26,6,0
INST_00039,Credit Union,Latin America,Basic,12,40969,91.57,12836,73,1229.73,6,Premium,20,81.2,Credit Card,3,28,7,0
INST_00040,Bank,Asia Pacific,Enterprise,18,1346,50.0,67433,3525,30604.47,9,Priority,9,85.1,ACH,2,24,6,0
INST_00041,Credit Union,Europe,Basic,1,1629,368.57,17939,193,74277.73,12,Priority,14,82.2,ACH,0,4,2,0
INST_00042,Bank,North America,Basic,4,4375,1324.07,4576,179,29345.12,12,Priority,0,90.0,ACH,6,13,5,1
INST_00043,Payment Processor,Asia Pacific,Professional,24,7613,457.88,247327,895,13258.39,7,Priority,2,68.9,ACH,0,29,5,0
INST_00044,Bank,Europe,Professional,30,56480,2143.93,26372,282,2511.76,4,Priority,0,78.5,ACH,9,29,3,0
INST_00045,Investment Firm,Europe,Professional,20,247,1092.98,7584,36,7498.45,8,Standard,1,60.7,Credit Card,1,8,2,0
INST_00046,Bank,Europe,Basic,3,10290,3110.62,2734,154,652.53,9,Premium,15,47.9,ACH,1,19,9,1
INST_00047,Credit Union,Europe,Basic,14,9086,1623.36,3181,19,1522.84,8,Standard,3,91.6,ACH,6,29,11,0
INST_00048,Credit Union,North America,Professional,10,2426,248.75,12589,206,1692.22,11,Priority,7,63.5,Wire Transfer,7,22,6,1
INST_00049,Bank,Europe,Enterprise,16,9709,437.06,395415,32,5393.55,7,Priority,4,65.2,ACH,1,7,5,0
INST_00050,Payment Processor,North America,Enterprise,49,12105,142.25,9163,789,2729.12,16,Standard,4,92.9,Credit Card,11,28,7,0
INST_00051,Insurance Company,Asia Pacific,Professional,35,375,305.89,193142,59,7276.46,8,Standard,7,88.5,ACH,5,29,8,0
INST_00052,Payment Processor,North America,Enterprise,2,41136,434.5,18103,33,18338.18,5,Priority,3,63.7,Credit Card,0,33,5,0
INST_00053,Payment Processor,North America,Professional,53,287,364.35,3745,121,1694.95,9,Standard,0,64.2,Wire Transfer,0,30,3,1
INST_00054,Investment Firm,Europe,Professional,15,542,2019.7,10831,286,6141.98,11,Priority,11,79.3,ACH,1,22,2,1
INST_00055,Payment Processor,Asia Pacific,Professional,32,2012,271.46,3224,16,2633.44,10,Standard,2,90.6,Wire Transfer,7,16,4,0
INST_00056,Bank,Europe,Professional,3,53498,131.83,6100,58,6537.07,9,Standard,7,66.9,Credit Card,13,35,7,1
INST_00057,Bank,North America,Professional,26,1877,142.09,5833,179,13756.39,6,Premium,7,89.1,ACH,7,35,5,0
INST_00058,Bank,Europe,Professional,6,2841,885.47,1266,1650,19571.97,8,Standard,1,53.7,ACH,0,17,8,1
INST_00059,Bank,North America,Professional,13,25542,74.91,213031,1,13432.82,11,Priority,1,87.6,Wire Transfer,0,27,5,0
INST_00060,Credit Union,Latin America,Basic,1,1899,316.9,30228,449,9145.15,6,Standard,4,80.6,ACH,3,12,9,1
INST_00061,Bank,Latin America,Basic,3,508,1984.26,7868,74,583.87,9,Standard,2,89.0,ACH,4,6,4,1
INST_00062,Insurance Company,Europe,Professional,2,1594,573.13,30718,60,970.78,6,Priority,2,42.5,Wire Transfer,9,32,3,0
INST_00063,Credit Union,North America,Basic,6,23299,368.88,6290,43,1427.58,6,Priority,2,69.1,Credit Card,2,1,6,1
INST_00064,Bank,Asia Pacific,Basic,2,3315,386.41,400,77,8416.34,10,Premium,2,85.4,ACH,9,26,4,1
INST_00065,Credit Union,North America,Professional,28,53959,117.28,1858048,453,708.74,8,Standard,0,97.6,ACH,0,30,3,0
INST_00066,Bank,Europe,Professional,1,9017,144.23,29272,56,8154.16,6,Priority,0,79.3,Credit Card,1,26,4,0
INST_00067,Insurance Company,North America,Professional,23,1133,319.19,9104,2937,7307.85,6,Priority,14,91.1,ACH,1,31,5,0
INST_00068,Bank,Latin America,Professional,3,3218,558.65,1210,456,500.0,8,Priority,11,73.0,ACH,1,9,5,0
INST_00069,Payment Processor,North America,Enterprise,69,828,1258.63,2342,211,961.6,5,Standard,4,82.1,Credit Card,7,28,4,0
INST_00070,Insurance Company,Europe,Enterprise,64,1093,450.82,263481,110,23524.87,11,Priority,2,94.3,ACH,2,25,8,0
INST_00071,Bank,Asia Pacific,Enterprise,6,1000000,2045.36,209589,1263,13990.22,11,Priority,8,83.4,Wire Transfer,0,35,7,0
INST_00072,Bank,Europe,Professional,22,13738,2768.99,68174,1643,1372.53,3,Premium,0,73.9,ACH,3,32,10,1
INST_00073,Insurance Company,North America,Professional,1,10847,1047.67,4135,18,1040.76,6,Premium,0,86.7,Wire Transfer,0,2,5,1
INST_00074,Insurance Company,Middle East,Enterprise,64,1170,1754.57,212131,41,500.0,8,Standard,1,87.0,Wire Transfer,8,4,6,0
INST_00075,Insurance Company,Europe,Basic,17,31394,122.87,43246,465,44665.05,6,Priority,8,52.1,ACH,2,35,3,0
INST_00076,Insurance Company,Europe,Basic,1,15508,101.59,58828,801,5226.94,13,Premium,12,49.9,ACH,3,22,4,1
INST_00077,Bank,North America,Professional,10,50132,751.12,43012,86,82916.23,7,Premium,5,80.1,Wire Transfer,10,3,3,1
INST_00078,Credit Union,Europe,Basic,1,46614,80.68,2297,39,3686.72,5,Standard,1,79.9,Credit Card,2,11,4,1
INST_00079,Bank,Europe,Enterprise,11,324,284.73,3651,170,7509.2,10,Premium,2,76.0,Wire Transfer,0,13,7,0
INST_00080,Payment Processor,North America,Professional,26,564,1017.83,10246,2117,18712.51,14,Standard,12,70.9,ACH,10,2,4,0
INST_00081,Investment Firm,North America,Professional,15,661,2199.64,57841,159,57426.67,5,Priority,5,50.2,ACH,0,22,6,0
INST_00082,Bank,Asia Pacific,Professional,11,723,297.36,2777,15,10420.52,2,Priority,4,75.8,Wire Transfer,6,34,5,0
INST_00083,Bank,North America,Professional,3,4842,184.95,16932,180,4932.55,6,Premium,7,74.5,ACH,2,25,8,1
INST_00084,Bank,North America,Basic,6,1273,592.62,16900,607,5125.26,6,Priority,3,61.2,ACH,7,30,5,1
INST_00085,Bank,Europe,Professional,2,66762,111.25,72338,123,1023.77,9,Premium,0,76.3,ACH,0,33,4,0
INST_00086,Insurance Company,Asia Pacific,Professional,39,51897,327.69,60597,1428,2771.59,12,Priority,19,74.1,ACH,6,35,2,0
INST_00087,Investment Firm,North America,Professional,3,2952,399.57,4839,705,5307.25,11,Standard,8,82.5,Credit Card,4,29,3,0
INST_00088,Payment Processor,Europe,Professional,21,55993,390.11,192919,132,39059.48,10,Standard,22,91.0,Credit Card,1,18,6,0
INST_00089,Credit Union,North America,Basic,10,27783,448.63,3847,160,2578.43,6,Standard,13,73.8,Invoice,2,2,6,0
INST_00090,Bank,North America,Basic,6,1516,148.2,113364,5,24196.95,12,Standard,3,47.5,ACH,9,1,10,1
INST_00091,Insurance Company,North America,Basic,24,146,168.61,9650,1310,4347.01,8,Premium,3,99.0,ACH,3,27,10,0
INST_00092,Insurance Company,Asia Pacific,Professional,14,2149,164.59,28166,82,31740.15,8,Standard,1,79.1,Wire Transfer,0,9,7,0
INST_00093,Investment Firm,North America,Enterprise,12,1133,57.74,30914,72,13562.77,10,Premium,11,71.1,Credit Card,7,14,6,0
INST_00094,Insurance Company,North America,Enterprise,21,4063,608.01,29630,55,12256.27,8,Priority,6,81.5,Credit Card,0,28,3,0
INST_00095,Credit Union,Europe,Professional,16,3407,1180.38,60581,337,21337.9,6,Premium,2,85.5,Invoice,2,22,3,0
INST_00096,Credit Union,Asia Pacific,Professional,8,3276,1048.98,39623,19,17149.77,6,Premium,22,35.4,Wire Transfer,0,28,6,0
INST_00097,Credit Union,North America,Professional,19,6538,294.42,71358,25,24239.05,7,Priority,10,80.2,Wire Transfer,2,19,5,0
INST_00098,Bank,Europe,Basic,26,483,152.44,44219,135,120288.22,4,Standard,14,70.2,Invoice,9,7,4,0
INST_00099,Bank,North America,Basic,1,5525,985.53,3305,48,55566.85,4,Standard,1,85.0,Wire Transfer,7,28,6,1
INST_00100,Bank,Europe,Enterprise,15,1541,868.45,33014,271,9893.53,12,Standard,6,26.4,Credit Card,12,25,5,0
