customer_id,churn_probability,predicted_churn,actual_churn,risk_category,institution_type,region,product_tier,revenue_monthly
INST_04063,0.8573702572365569,1,1,Critical Risk,Bank,North America,Professional,8242.98
INST_04615,0.8565000743707375,1,1,Critical Risk,Bank,Latin America,Enterprise,711.39
INST_04936,0.8361615967684785,1,1,Critical Risk,Payment Processor,Europe,Professional,1819.23
INST_04384,0.8278769413462683,1,1,Critical Risk,Payment Processor,Europe,Enterprise,2670.15
INST_04283,0.8131216768681006,1,1,Critical Risk,Bank,North America,Professional,1881.59
INST_04120,0.8111380915215427,1,1,Critical Risk,Bank,Latin America,Professional,14811.67
INST_04681,0.8063640010204374,1,1,Critical Risk,Bank,North America,Basic,12269.54
INST_04361,0.7984158819851231,1,1,Critical Risk,Investment Firm,Asia Pacific,Professional,1129.27
INST_04778,0.7912668312135565,1,1,Critical Risk,Bank,North America,Professional,4249.4
INST_04012,0.790855888358918,1,0,Critical Risk,Investment Firm,North America,Basic,1946.32
INST_04746,0.7853444356700963,1,1,Critical Risk,Bank,Asia Pacific,Professional,18710.3
INST_04519,0.777765975002566,1,1,Critical Risk,Bank,North America,Professional,109168.45
INST_04349,0.7763756220610726,1,1,Critical Risk,Investment Firm,Latin America,Professional,3899.42
INST_04165,0.7729678722798486,1,1,Critical Risk,Credit Union,Asia Pacific,Professional,10906.51
INST_04260,0.7699505068384902,1,1,Critical Risk,Bank,Europe,Professional,5417.74
INST_04202,0.7649401984046453,1,1,Critical Risk,Bank,Europe,Professional,2254.36
INST_04479,0.7595245650930891,1,0,Critical Risk,Investment Firm,North America,Basic,46815.7
INST_04369,0.7576772235462463,1,1,Critical Risk,Bank,Europe,Professional,4889.98
INST_04853,0.7573013997931868,1,0,Critical Risk,Bank,Europe,Basic,3221.91
INST_04514,0.7524620129951312,1,1,Critical Risk,Investment Firm,Europe,Professional,2075.69
INST_04622,0.7514278820687903,1,1,Critical Risk,Bank,North America,Professional,1230.88
INST_04203,0.7456265663597142,1,0,Critical Risk,Payment Processor,Europe,Enterprise,2377.25
INST_04891,0.7411850660281434,1,1,Critical Risk,Bank,North America,Professional,1072.77
INST_04297,0.7372657685002609,1,1,Critical Risk,Bank,Asia Pacific,Basic,45358.92
INST_04782,0.7360228353696288,1,1,Critical Risk,Investment Firm,Asia Pacific,Enterprise,5905.8
INST_04039,0.7357897439709585,1,0,Critical Risk,Investment Firm,North America,Basic,11188.95
INST_04786,0.73267197032363,1,1,Critical Risk,Payment Processor,North America,Professional,500.0
INST_04598,0.7325461956603384,1,1,Critical Risk,Credit Union,North America,Professional,15912.47
INST_04914,0.7318810844523143,1,1,Critical Risk,Bank,Europe,Professional,80871.46
INST_04923,0.7314775489185896,1,0,Critical Risk,Payment Processor,Europe,Professional,2295.51
INST_04054,0.7304681542189937,1,0,Critical Risk,Insurance Company,Europe,Basic,36598.2
INST_04303,0.7274241428379571,1,1,Critical Risk,Investment Firm,Europe,Basic,4268.19
INST_04435,0.7264330965305598,1,0,Critical Risk,Bank,North America,Professional,5906.96
INST_04872,0.720742942130418,1,0,Critical Risk,Bank,North America,Professional,26405.66
INST_04246,0.7179030891603084,1,1,Critical Risk,Bank,Europe,Basic,4800.54
INST_04295,0.7101775653838845,1,1,Critical Risk,Bank,Latin America,Professional,9420.89
INST_04481,0.7098940345251664,1,0,Critical Risk,Credit Union,North America,Professional,2228.08
INST_04385,0.7090436864951043,1,0,Critical Risk,Investment Firm,Latin America,Enterprise,114450.55
INST_04319,0.7072884703003425,1,0,Critical Risk,Credit Union,Asia Pacific,Basic,760.4
INST_04745,0.7018216934189344,1,0,Critical Risk,Bank,Asia Pacific,Professional,25957.94
INST_04831,0.6991259160139814,1,0,High Risk,Insurance Company,Latin America,Professional,3596.86
INST_04744,0.6990233737159554,1,0,High Risk,Bank,North America,Basic,9031.87
INST_04579,0.6964141487253401,1,0,High Risk,Investment Firm,North America,Basic,19149.7
INST_04327,0.6956563883150458,1,1,High Risk,Payment Processor,North America,Professional,2697.06
INST_04078,0.6954577762809723,1,1,High Risk,Insurance Company,Asia Pacific,Professional,47729.2
INST_04727,0.6952493915085598,1,1,High Risk,Insurance Company,North America,Professional,8726.81
INST_04013,0.6940483113162834,1,1,High Risk,Bank,North America,Professional,2020.76
INST_04409,0.6933342475101459,1,1,High Risk,Investment Firm,Europe,Professional,22735.65
INST_04773,0.6932746340288696,1,1,High Risk,Insurance Company,Europe,Professional,6702.73
INST_04003,0.691276962291075,1,1,High Risk,Bank,Europe,Professional,6061.66
INST_04094,0.689404280516449,1,1,High Risk,Bank,Europe,Professional,38780.63
INST_04814,0.6879888116885033,1,1,High Risk,Insurance Company,Middle East,Professional,27171.79
INST_04200,0.6847405228112206,1,0,High Risk,Insurance Company,Latin America,Professional,1228.54
INST_04779,0.6841313797257222,1,1,High Risk,Bank,Europe,Enterprise,5334.71
INST_04578,0.6830501071309004,1,1,High Risk,Payment Processor,North America,Basic,6470.63
INST_04941,0.6825674722517041,1,1,High Risk,Credit Union,North America,Basic,3628.55
INST_04009,0.6820342727806645,1,1,High Risk,Bank,Europe,Enterprise,2158.9
INST_04892,0.6766329648913808,1,1,High Risk,Investment Firm,Asia Pacific,Basic,14631.22
INST_04599,0.6739426033936272,1,0,High Risk,Bank,North America,Enterprise,3628.09
INST_04456,0.6738018983019998,1,0,High Risk,Investment Firm,North America,Basic,4206.82
INST_04658,0.6735093663936276,1,1,High Risk,Bank,Europe,Basic,10524.36
INST_04852,0.6723213330122221,1,1,High Risk,Insurance Company,North America,Professional,4661.87
INST_04451,0.6702040006998712,1,1,High Risk,Investment Firm,Europe,Basic,11732.41
INST_04031,0.6683751836783994,1,0,High Risk,Bank,Asia Pacific,Enterprise,5202.84
INST_04556,0.6657794537771062,1,0,High Risk,Investment Firm,North America,Professional,2717.21
INST_04231,0.664378850828694,1,1,High Risk,Investment Firm,North America,Professional,5629.94
INST_04750,0.6635990025724161,1,1,High Risk,Bank,North America,Basic,1043.99
INST_04908,0.6632034192482789,1,0,High Risk,Insurance Company,North America,Basic,1991.99
INST_04774,0.6629308913550589,1,1,High Risk,Bank,Asia Pacific,Enterprise,2053.25
INST_04195,0.6617791674336041,1,0,High Risk,Bank,North America,Basic,1269.35
INST_04163,0.661691653595134,1,1,High Risk,Credit Union,North America,Basic,31011.61
INST_04038,0.6572407650188145,1,1,High Risk,Investment Firm,Asia Pacific,Professional,1808.73
INST_04248,0.6556137864233978,1,1,High Risk,Investment Firm,North America,Professional,69463.78
INST_04343,0.6548192312424312,1,1,High Risk,Insurance Company,Asia Pacific,Enterprise,13928.25
INST_04366,0.653998219285411,1,1,High Risk,Bank,Europe,Enterprise,4991.94
INST_04607,0.6532742023431091,1,0,High Risk,Bank,Europe,Professional,11270.09
INST_04193,0.6530139347529113,1,0,High Risk,Insurance Company,Asia Pacific,Enterprise,6371.14
INST_04336,0.6523833787397071,1,1,High Risk,Investment Firm,Europe,Professional,10442.18
INST_04422,0.6506850249942352,1,0,High Risk,Investment Firm,Europe,Professional,22736.06
INST_04694,0.6506572040256118,1,1,High Risk,Credit Union,Europe,Basic,12113.98
INST_04899,0.6499695080204284,1,1,High Risk,Payment Processor,North America,Professional,33084.58
